id,company_name,address,city,state,zip_code,country,phone,email,website,location_id,doing_business_as,accreditation_program,accreditation_type,accreditation_level,programme_category,program_status,effective_date,resurvey_date,days_until_resurvey,certification_number,specialty_code,bed_count,trauma_level,teaching_status,services_offered,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
1,314 Surgery Center LLC,2840 Clark Ave.,St. Louis,MO,63103,United States,,,,440428,,AMBULATORY SURGERY CENTER,ambulatorySurgicalCenterDeemed,Deemed Status,Ambulatory / Surgical,Active,2025-11-19,2028-11-19,969,,ambulatorySurgicalCenterDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.243490+00:00,20260326_061233,ed5c40923c88d1fb923910b5b79f6b06,2026-03-26 06:12:59,2026-03-26 06:12:59,1
2,3P Omics Inc.,1445 North Loop West. Suite 950,Houston,TX,77008,United States,,,,440338,Tovana Health,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2025-04-29,2027-04-29,399,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.243490+00:00,20260326_061233,d33e3316bfb6c284517c0f6fabcdded3,2026-03-26 06:12:59,2026-03-26 06:12:59,1
3,Abilene Express ER,4157 Buffalo Gap Road,Abilene,TX,79605,United States,,,https://ExpressERAbilene.com,440193,DBA Express ER,OFFICE-BASED SURGERY,ambulatoryCare,Accredited,Ambulatory / Surgical,Active,2024-06-10,2027-06-10,441,,ambulatoryCare,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.243490+00:00,20260326_061233,84860ac410a190d838eb6b25f4fcb72e,2026-03-26 06:12:59,2026-03-26 06:12:59,1
4,Access Ambulatory Surgery Center,45 Dartmouth Dr,Auburn,NH,03032,United States,,,,440147,Auburn Surgery Center,AMBULATORY SURGERY CENTER,ambulatorySurgicalCenterDeemed,Deemed Status,Ambulatory / Surgical,Active,2024-08-02,2027-08-02,494,,ambulatorySurgicalCenterDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.243490+00:00,20260326_061233,12483823ef7f7308e08f9a4a634f48f1,2026-03-26 06:12:59,2026-03-26 06:12:59,1
5,"Achy Legs Clinic, LLC",25450 Kuykendahl Road,Tomball,TX,77375,United States,,,,440479,The Center for Cardiovascular Excellence,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2025-03-25,2027-03-25,364,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.243490+00:00,20260326_061233,d3c5fcd13630daa78e70cfc9aa45a242,2026-03-26 06:12:59,2026-03-26 06:12:59,1
6,Adams County Emergency Medical Service,1100 Mercer Ave,Decatur,IN,46733-2303,United States,,,,188880,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2025-04-08,2027-04-08,378,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.243490+00:00,20260326_061233,ca55b2cc1c75e8c6e300995249e21406,2026-03-26 06:12:59,2026-03-26 06:12:59,1
7,Adams Medical Group - Monroeville,504 W South Street.,Monroeville,IN,46773,United States,,,,439819,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2025-01-18,2027-01-18,298,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.243490+00:00,20260326_061233,29a30b17fc04b7cb1716e8e541f6fb38,2026-03-26 06:12:59,2026-03-26 06:12:59,1
8,Adams Medical Group - Obstetrics and Newborn Clinic,1100 Mercer Ave,Decatur,IN,46733-2303,United States,,,,439452,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2025-04-08,2027-04-08,378,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.243490+00:00,20260326_061233,8a16a60a5e2d10e7397d5414d7d0a898,2026-03-26 06:12:59,2026-03-26 06:12:59,1
9,Adams Medical Group-Berne,"1521 W Main St., Suite 1",Berne,IN,46711-1797,United States,,,,439451,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2025-03-25,2027-03-25,364,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.243490+00:00,20260326_061233,8586d2ec1e8422bb640f5753a2ac2e57,2026-03-26 06:12:59,2026-03-26 06:12:59,1
10,Adams Memorial Hospital,1100 Mercer Ave,Decatur,IN,46733-2303,United States,,,,188877,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2025-04-08,2027-04-08,378,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.243490+00:00,20260326_061233,6ad1e3d393b42880fa7d54c70fce55b7,2026-03-26 06:12:59,2026-03-26 06:12:59,1
11,Adams Memorial Hospital,1100 Mercer Ave PO Box 151,Decatur,IN,46733-2303,United States,,,https://www.adamshospital.com,169905,,CRITICAL ACCESS HOSPITAL,criticalAccessHospitalDeemed,Deemed Status,Hospital,Active,2024-12-07,2027-12-07,621,,criticalAccessHospitalDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.243490+00:00,20260326_061233,091b96152a67c8cd80281a5312c73944,2026-03-26 06:12:59,2026-03-26 06:12:59,1
12,Adams Memorial Hospital DBA Adams Medical Group - High Street,955 High St,Decatur,IN,46733-2360,United States,,,,439460,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2025-03-25,2027-03-25,364,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.243490+00:00,20260326_061233,6a40e608a5fc15f2ca5788ffea94c071,2026-03-26 06:12:59,2026-03-26 06:12:59,1
13,Adams Memorial Hospital DBA Adams Medical Group-Woodcrest,1300 Mercer Ave,Decatur,IN,46733-2407,United States,,,,418839,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2025-03-25,2027-03-25,364,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.243490+00:00,20260326_061233,7acaeb40394daf415dae3bc7d9a3b720,2026-03-26 06:12:59,2026-03-26 06:12:59,1
14,Adams Memorial Hospital DBA Decatur Family Medicine,1100 Mercer Ave,Decatur,IN,46733-2303,United States,,,,327837,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2025-04-08,2027-04-08,378,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.243490+00:00,20260326_061233,c0bcfd895b6bd1b447997a5b8b920555,2026-03-26 06:12:59,2026-03-26 06:12:59,1
15,Adams Memorial Hospital DBA Geneva Family Medicine,1040 W 950 S,Geneva,IN,46740-1020,United States,,,,370205,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2025-04-08,2027-04-08,378,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.243490+00:00,20260326_061233,0b78ce1433f7cac3fc1c6fa777ead85b,2026-03-26 06:12:59,2026-03-26 06:12:59,1
16,Adams Memorial Hospital DBA Monroe Family Med,205 Tower Dr,Monroe,IN,46772-9362,United States,,,,188887,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2025-04-08,2027-04-08,378,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.243490+00:00,20260326_061233,a85baa5fd5afc58462c470ca39888ea7,2026-03-26 06:12:59,2026-03-26 06:12:59,1
17,Adams StatCare and Behavioral Health,1401 N 13th St,Decatur,IN,46733-2303,United States,,,,188884,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2025-04-08,2027-04-08,378,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.243490+00:00,20260326_061233,ddf740e4f28a24fcafa168ee2b762ca8,2026-03-26 06:12:59,2026-03-26 06:12:59,1
18,Adirondack Health,2233 State Route 86,Saranac Lake,NY,12983,United States,,,,418949,,JOINT REPLACEMENT COMPREHENSIVE (INPATIENT),jointReplacementComprehensive,Certified,Joint Replacement,Active,2025-03-04,2026-09-04,162,,jointReplacementComprehensive,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.243490+00:00,20260326_061233,2b34c4762aea654223932df9098be470,2026-03-26 06:12:59,2026-03-26 06:12:59,1
19,Adirondack Medical Center,2233 State Route 86,Saranac Lake,NY,12983,United States,,,https://www.adirondackhealth.org,164332,,ACUTE CARE HOSPITAL,acuteCareDeemed,Deemed Status,Hospital,Active,2023-11-05,2026-11-05,224,,acuteCareDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.243490+00:00,20260326_061233,18148fecc32dfe5ca54d68ac0be61ed7,2026-03-26 06:12:59,2026-03-26 06:12:59,1
20,"Advanced Ambulatory Surgery Center, LLC","1901 W. Lugonia Ave, Suite 100",Redlands,CA,92374,United States,,,,440462,,AMBULATORY SURGERY CENTER,ambulatorySurgicalCenterDeemed,Deemed Status,Ambulatory / Surgical,Active,2025-07-08,2028-07-08,835,,ambulatorySurgicalCenterDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.243490+00:00,20260326_061233,b54fbd4b6d9d7027a2ec4d151eb33a42,2026-03-26 06:12:59,2026-03-26 06:12:59,1
21,Advanced Dermatology & Cosmetic Surgery - Ocala,"1918 SE 17th St, Suite 300",Ocala,FL,34471,United States,,,,327657,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2026-01-20,2028-01-20,665,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.243490+00:00,20260326_061233,f9568bd7aa57df005e577e2e7c257a4e,2026-03-26 06:12:59,2026-03-26 06:12:59,1
22,Advanced Dermatology & Cosmetic Surgery - Sebastian,"484 US Hwy 1, Suite C",Sebastian,FL,32958,United States,,,,371339,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2026-02-10,2028-02-10,686,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.243490+00:00,20260326_061233,b882b258bca35262b66bde71d2246a66,2026-03-26 06:12:59,2026-03-26 06:12:59,1
23,Advanced Dermatology & Cosmetic Surgery - Vero Terrace 429,3755 7th Terrace,Vero Beach,FL,32960,United States,,,,440524,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2026-03-03,2028-03-03,708,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.243490+00:00,20260326_061233,953ece4ad1be4fccdb1140c247bd4eb5,2026-03-26 06:12:59,2026-03-26 06:12:59,1
24,Advanced Dermatology & Cosmetic Surgery (Cape Coral),"632 Del Prado Blvd., Suite 201",Cape Coral,FL,33909,United States,,,,385983,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2025-01-26,2027-01-26,306,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.243490+00:00,20260326_061233,e37036f8dab89bd1b19f3affff3e0a4d,2026-03-26 06:12:59,2026-03-26 06:12:59,1
25,Advanced Dermatology & Cosmetic Surgery (Clermont),"1920 Don Wickham Drive, Suite 330",Clermont,FL,34711-1978,United States,,,,328340,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2025-02-09,2027-02-09,320,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.243490+00:00,20260326_061233,f46c3e31df901cddd7a0f0c51f8bcbbc,2026-03-26 06:12:59,2026-03-26 06:12:59,1
26,Advanced Dermatology & Cosmetic Surgery (DeBary),"2893 Enterprise Road, Suite 100",DeBary,FL,32713,United States,,,,329272,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2025-08-12,2027-08-12,504,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.243490+00:00,20260326_061233,334609ed751e92318aabe95151b37f3c,2026-03-26 06:12:59,2026-03-26 06:12:59,1
27,Advanced Dermatology & Cosmetic Surgery (Delray Beach),1300 NW 17th Ave Ste 130,Delray Beach,FL,33445,United States,,,,325108,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2024-08-19,2026-08-19,146,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.243490+00:00,20260326_061233,5ca1e1230b4b2f871db575140ac99e13,2026-03-26 06:12:59,2026-03-26 06:12:59,1
28,Advanced Dermatology & Cosmetic Surgery (Ft Myers),7310 College Pkwy,Fort Myers,FL,33907,United States,,,,327656,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2025-01-18,2027-01-18,298,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.243490+00:00,20260326_061233,1e48eea4481afabd444e51c40ab2fb09,2026-03-26 06:12:59,2026-03-26 06:12:59,1
29,Advanced Dermatology & Cosmetic Surgery (Heathrow),120 International Pkwy Stuie 240,Heathrow,FL,32746,United States,,,,328339,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2025-02-08,2027-02-08,319,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.243490+00:00,20260326_061233,9b6299730af6da507b6586fd7272a578,2026-03-26 06:12:59,2026-03-26 06:12:59,1
30,Advanced Dermatology & Cosmetic Surgery (Islamorada),82245 Overseas Hwy,Islamorada,FL,33036,United States,,,,347574,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2025-04-08,2027-04-08,378,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.244491+00:00,20260326_061233,e5d248d5d44c316f3044a9c11a788f01,2026-03-26 06:12:59,2026-03-26 06:12:59,1
31,Advanced Dermatology & Cosmetic Surgery (New Port Richey),8209 SR 54,New Port Richey,FL,34655,United States,,,,370502,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2025-02-21,2027-02-21,332,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.244491+00:00,20260326_061233,8e72330e534f558228af09722fe26d39,2026-03-26 06:12:59,2026-03-26 06:12:59,1
32,Advanced Dermatology & Cosmetic Surgery (Orlando),"1507 Park Center Drive, Suite 1D",Orlando,FL,32835,United States,,,,328335,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2025-02-10,2027-02-10,321,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.244491+00:00,20260326_061233,4022203a5572080d8f124ed7908bef94,2026-03-26 06:12:59,2026-03-26 06:12:59,1
33,Advanced Dermatology & Cosmetic Surgery (Ormond Beach),725 W Granada Blvd Suite 44,Ormond Beach,FL,32174,United States,,,,328338,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2025-02-08,2027-02-08,319,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.244491+00:00,20260326_061233,de51a934ef87c5705ea521bb65991e49,2026-03-26 06:12:59,2026-03-26 06:12:59,1
34,Advanced Dermatology & Cosmetic Surgery (Oviedo),"1410 W Broadway Street, Suite 205",Oviedo,FL,32765-6472,United States,,,,340882,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2023-04-27,2025-04-27,-333,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.244491+00:00,20260326_061233,1a3785fb831cc590255b10649cd0a341,2026-03-26 06:12:59,2026-03-26 06:12:59,1
35,Advanced Dermatology & Cosmetic Surgery (Riverview),9598 US Highway 301 S,Riverview,FL,33578,United States,,,,328766,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2025-05-04,2027-05-04,404,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.244491+00:00,20260326_061233,40a88e711e858b06cc14bb6ab49171de,2026-03-26 06:12:59,2026-03-26 06:12:59,1
36,Advanced Dermatology & Cosmetic Surgery (St Cloud),3006 17th Street,St Cloud,FL,34769,United States,,,,439972,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2023-03-17,2025-03-17,-374,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.244491+00:00,20260326_061233,afd3ca84f87a086f8fcdc8ee6f01b778,2026-03-26 06:12:59,2026-03-26 06:12:59,1
37,Advanced Dermatology & Cosmetic Surgery (St Petersburg),"900 Carillon Parkway, Suite 404",Saint Petersburg,FL,33716,United States,,,,385173,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2025-01-25,2027-01-25,305,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.244491+00:00,20260326_061233,d9aa3695e58b90db48ee2d78995aacdd,2026-03-26 06:12:59,2026-03-26 06:12:59,1
38,Advanced Dermatology & Cosmetic Surgery (Tampa -Univ Pt Pl),14521 University Point Pl,Tampa,FL,33613,United States,,,,370498,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2025-09-15,2027-09-15,538,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.244491+00:00,20260326_061233,553d39840bbc1bc5844fdf7c751b3eee,2026-03-26 06:12:59,2026-03-26 06:12:59,1
39,Advanced Dermatology & Cosmetic Surgery (Tampa-Deleon St.),"2835 W Deleon Street, Suite 103",Tampa,FL,33609,United States,,,,370497,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2025-09-15,2027-09-15,538,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.244491+00:00,20260326_061233,b1adc96dfa594adff79fc9faaba4a9a3,2026-03-26 06:12:59,2026-03-26 06:12:59,1
40,Advanced Dermatology & Cosmetic Surgery (Tavares),1816 Salk Ave,Tavares,FL,32778-4300,United States,,,,327658,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2025-01-17,2027-01-17,297,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.244491+00:00,20260326_061233,a1bb7ad28ade058db576094d3b2244e0,2026-03-26 06:12:59,2026-03-26 06:12:59,1
41,Advanced Dermatology & Cosmetic Surgery (The Villages-Buenos Aires),1503 Buenos Aires Blvd Ste 100,The Villages,FL,32159,United States,,,,327660,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2025-01-17,2027-01-17,297,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.244491+00:00,20260326_061233,6322ac6d458615f9b372938ceee99f61,2026-03-26 06:12:59,2026-03-26 06:12:59,1
42,Advanced Dermatology & Cosmetic Surgery (Wesley Chapel),27612 Cashford Circle Ste 102,Wesley Chapel,FL,33544,United States,,,,419953,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2025-06-05,2027-06-05,436,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.244491+00:00,20260326_061233,99d63d0c263ab18d0aab968ebd4167b8,2026-03-26 06:12:59,2026-03-26 06:12:59,1
43,Advanced Dermatology & Cosmetic Surgery (Winter Park - Lee Rd),1801 Lee Road Suite 115,Winter Park,FL,32789,United States,,,,361269,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2024-08-20,2026-08-20,147,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.244491+00:00,20260326_061233,39e17dba3d946a9948b423cb0c814977,2026-03-26 06:12:59,2026-03-26 06:12:59,1
44,Advanced Dermatology and Cosmetic Surgery - Palm Coast,8 Office Park Dr Suite A,Palm Coast,FL,32137,United States,,,,411329,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2026-01-21,2028-01-21,666,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.244491+00:00,20260326_061233,c381b66ba72b1534cff7319efc6f9082,2026-03-26 06:12:59,2026-03-26 06:12:59,1
45,Advanced Dermatology and Cosmetic Surgery (Brownwood),2955 Brownwood Blvd Suite 204,The Villages,FL,32163,United States,,,,440483,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2025-10-22,2027-10-22,575,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.244491+00:00,20260326_061233,fd22ac881fb05f1905fb86d117aa00c3,2026-03-26 06:12:59,2026-03-26 06:12:59,1
46,Advanced Dermatology Mobile Van Lab,151 Southhall Ln. Suite 300,Maitland,FL,32751,United States,,,,328341,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2025-02-09,2027-02-09,320,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.244491+00:00,20260326_061233,d2cb32243b6720746dc3dd2c66cf055b,2026-03-26 06:12:59,2026-03-26 06:12:59,1
47,Advanced Dermatology of Colorado - Poudre River,1100 Poudre River Dr,Fort Collins,CO,80524,United States,,,,438385,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2020-09-24,2022-09-24,-1279,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.244491+00:00,20260326_061233,a8315c1ad99a224bcf0d377dab5ed6ec,2026-03-26 06:12:59,2026-03-26 06:12:59,1
48,Advanced Dermatology of Colorado (Aurora),"13701 E Mississippi Ave, Suite 320",Aurora,CO,80012,United States,,,,440105,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2024-07-25,2026-07-25,121,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.244491+00:00,20260326_061233,b2e92d7a1f77fbb5b21e8886ee1b7a24,2026-03-26 06:12:59,2026-03-26 06:12:59,1
49,Advanced Dermatology of Colorado (Castle Rock),"4344 Woodlands Blvd, Suite 160",Castle Rock,CO,80104,United States,,,,440104,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2024-07-25,2026-07-25,121,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.244491+00:00,20260326_061233,355a9009ec9c0eadcda3789030eb2d69,2026-03-26 06:12:59,2026-03-26 06:12:59,1
50,Advanced Dermatology of Colorado (Denver – Poplar),3540 S Poplar St.. Suite 300,Denver,CO,80237,United States,,,,440107,,LABORATORY,laboratoryDeemed,Deemed Status,Laboratory,Active,2025-03-18,2027-03-18,357,,laboratoryDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.244491+00:00,20260326_061233,230702efa69cba82b8869bdc4c9ca70e,2026-03-26 06:12:59,2026-03-26 06:12:59,1
