id,company_name,address,city,state,zip_code,country,phone,email,website,member_url,staffing_specialization,placement_type,industries_served,member_since,asa_member_type,is_hq,ownership_type,certified_professionals,geographic_scope,num_offices_in_state,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
1,Automation Personnel Services Inc.,236 Town Mart,Clanton,Alabama,35045-3784,United States,+12052585130,,https://www.apstemps.com,https://americanstaffing.net/members-directory/automation-personnel-services-inc-0015w00002feblzaau/,"Engineering (5%), Industrial (85%), Office Clerical (10%)","Temp Help (90%), Temp-to-Hire (5%)",,1993-08-10,Staffing Firm,No,,,National,7,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.028555+00:00,20260326_090225,384e83aac7beeb1a5212020227cdb8b8,2026-03-26 10:39:49,2026-03-26 10:39:49,1
2,Elwood Staffing Services,1515 7th St S Ste S,Clanton,Alabama,35045-8705,United States,+12055886716,,https://www.elwoodstaffing.com,https://americanstaffing.net/members-directory/elwood-staffing-services-0015w00002urerwaal/,"Engineering (5%), Industrial (80%), Office Clerical (10%)","Direct Hire (5%), Temp Help (5%), Temp-to-Hire (75%), Long-Term Contract (5%), HR Consulting (5%), Payrolling (5%)",,1996-07-15,Staffing Firm,No,,146,National,20,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.028555+00:00,20260326_090225,e7f7ad79823ff549ae26f9bc18b22bef,2026-03-26 10:39:49,2026-03-26 10:39:49,1
3,Johnson Service Group,300 Canyon Park Dr,Pelham,Alabama,35124-4819,United States,+12056645454,,https://www.jsginc.com,https://americanstaffing.net/members-directory/johnson-service-group-0015w00002ureibaad/,"Engineering (85%), IT (10%)","Temp Help (80%), Payrolling (20%)",,2012-08-16,Staffing Firm,No,,2,National,2,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.028555+00:00,20260326_090225,2dcc8d0c52f730b998462a310b43ee46,2026-03-26 10:39:49,2026-03-26 10:39:49,1
4,Peoplelink Group,20000 Highway 11 Ste 1,Woodstock,Alabama,35188-3748,United States,+15742325400,,https://www.peoplelinkstaffing.com,https://americanstaffing.net/members-directory/peoplelink-group-0015w00002uri8maad/,"Engineering (10%), Industrial (80%), Office Clerical (10%)","Temp Help (90%), Temp-to-Hire (10%)",,2016-06-16,Staffing Firm,No,,1,National,1,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.028555+00:00,20260326_090225,4215fde411ee301983130e66724ba2e0,2026-03-26 10:39:49,2026-03-26 10:39:49,1
5,Automation Personnel Services Inc.,2145 Pelham Pkwy,Pelham,Alabama,35124-1116,United States,+12054449774,,https://www.apstemps.com,https://americanstaffing.net/members-directory/automation-personnel-services-inc-0015w00002urgidaad/,"Engineering (5%), Industrial (85%), Office Clerical (10%)","Temp Help (90%), Temp-to-Hire (5%)",,1993-08-10,Staffing Firm,No,,,National,7,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.028555+00:00,20260326_090225,07ba814db290c24e1870c07860d38ae4,2026-03-26 10:39:49,2026-03-26 10:39:49,1
6,Staffmark,100 Concourse Pkwy Ste 160,Hoover,Alabama,35244-2886,United States,,,https://www.staffmark.com,https://americanstaffing.net/members-directory/staffmark-0015w00002uregdaal/,"Industrial (65%), Office Clerical (25%), Other (5%)","Temp Help (90%), Temp-to-Hire (5%), Payrolling (5%)",,2011-01-01,Staffing Firm,No,,34,National,2,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.028555+00:00,20260326_090225,07316f37ae0cdf1fd734733b777279ff,2026-03-26 10:39:49,2026-03-26 10:39:49,1
7,Staffmark Group,100 Concourse Pkwy Ste 160,Birmingham,Alabama,35244-2886,United States,+12056829495,,https://www.staffmark.com,https://americanstaffing.net/members-directory/staffmark-group-0015w00002ureznaal/,"Industrial (65%), Office Clerical (25%), Other (5%)","Temp Help (90%), Temp-to-Hire (5%), Payrolling (5%)",,2011-01-01,Staffing Firm,No,,34,National,4,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.028555+00:00,20260326_090225,92c5f1fb850114c7ff1366b18b491112,2026-03-26 10:39:49,2026-03-26 10:39:49,1
8,Aerotek,100 Concourse Pkway Ste 200,Hoover,Alabama,35244-1885,United States,+12059686100,,https://www.allegisgroup.com,https://americanstaffing.net/members-directory/aerotek-0015w00002urgxsaat/,"Engineering (35%), Health Care (5%), IT (5%), Industrial (25%), Office Clerical (20%)","Direct Hire (10%), Temp Help (45%), Temp-to-Hire (35%), Long-Term Contract (10%), Managed Services (5%)",,2004-01-01,Staffing Firm,No,,17,National,4,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.029572+00:00,20260326_090225,92f865a113537e92768f58ed795f44d8,2026-03-26 10:39:49,2026-03-26 10:39:49,1
9,Aerotek,100 Concourse Pkwy Ste 200,Birmingham,Alabama,35244-1885,United States,,,https://www.allegisgroup.com,https://americanstaffing.net/members-directory/aerotek-0015w00002urgxuaat/,"Engineering (35%), Health Care (5%), IT (5%), Industrial (25%), Office Clerical (20%)","Direct Hire (10%), Temp Help (45%), Temp-to-Hire (35%), Long-Term Contract (10%), Managed Services (5%)",,2004-01-01,Staffing Firm,No,,17,National,4,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.029572+00:00,20260326_090225,834c93e372441ac4b64bdab22fb10f5d,2026-03-26 10:39:49,2026-03-26 10:39:49,1
10,ManpowerGroup,5330 Stadium Trace Pkwy Ste 335,Birmingham,Alabama,35244-4526,United States,+12059878878,,https://www.manpowergroup.com,https://americanstaffing.net/members-directory/manpowergroup-0015w00002ureudaad/,"Engineering (20%), IT (20%), Industrial (20%), Office Clerical (20%)","Direct Hire (10%), Temp Help (10%), Temp-to-Hire (15%), Long-Term Contract (10%), HR Consulting (10%), Payrolling (10%), Managed Services (10%), Outplacement (10%)",,1975-01-20,Staffing Firm,No,Offer franchises,3,National,9,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.029572+00:00,20260326_090225,74ef8d4ff5ce4812e75f1cffb4438ec8,2026-03-26 10:39:49,2026-03-26 10:39:49,1
11,EmployBridge,6400 Jefferson Metro Parkway,Mc Calla,Alabama,35111-3966,United States,,,https://www.employbridge.net,https://americanstaffing.net/members-directory/employbridge-0015w00002urhqhaad/,"Health Care (5%), Industrial (60%), Office Clerical (30%), Other (5%)",Temp Help (100%),,2001-04-03,Staffing Firm,No,,80,National,4,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.029572+00:00,20260326_090225,29383010494f6872dd83f753b56b9a10,2026-03-26 10:39:49,2026-03-26 10:39:49,1
12,Randstad Holding NV,3075 John Hawkins Parkway Suite I,Hoover,Alabama,35244-1085,United States,+12052637000,,https://www.randstadusa.com,https://americanstaffing.net/members-directory/randstad-holding-nv-0015w00002urhz0aad/,"Engineering (5%), Industrial (40%), Office Clerical (50%)","Direct Hire (5%), Temp Help (60%), Temp-to-Hire (5%), Long-Term Contract (15%), HR Consulting (15%), Payrolling (5%)",,1981-02-12,Staffing Firm,No,,12,National,4,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.029572+00:00,20260326_090225,f569160244e092c6011d0f2e0f208cd4,2026-03-26 10:39:49,2026-03-26 10:39:49,1
13,Adecco Group North America,3000 Riverchase Galleria Ste 301,Birmingham,Alabama,35244-2360,United States,+12569221474,,https://www.adeccousa.com,https://americanstaffing.net/members-directory/adecco-group-north-america-0015w00002urg0raad/,"Engineering (10%), IT (10%), Industrial (30%), Office Clerical (35%)","Temp Help (90%), Payrolling (5%)",,1979-05-24,Staffing Firm,No,,2,National,6,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.029572+00:00,20260326_090225,7eb923668fe6291f1613860762b71c67,2026-03-26 10:39:49,2026-03-26 10:39:49,1
14,TrueBlue Inc.,,Montgomery,Alabama,36101,United States,+18007469462,,https://www.trueblue.com,https://americanstaffing.net/members-directory/trueblue-inc-0015w00002urexiaad/,Industrial (100%),Temp Help (100%),,2002-11-07,Staffing Firm,No,,1,National,15,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.029572+00:00,20260326_090225,55c0dd6127202fd3356cd6f07047de28,2026-03-26 10:39:49,2026-03-26 10:39:49,1
15,Labor Finders,1405 Federal Dr.,Montgomery,Alabama,36107,United States,+13342644506,,https://www.laborfinders.com,https://americanstaffing.net/members-directory/labor-finders-0015w00002urelmaat/,"Industrial (95%), Office Clerical (5%)","Temp Help (95%), Payrolling (5%)",,1998-01-01,Staffing Firm,No,Offer franchises,11,National,9,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.029572+00:00,20260326_090225,6336589e72135e05c60e453f15506a1a,2026-03-26 10:39:49,2026-03-26 10:39:49,1
16,HireLevel,400 South Union St Ste 290,Montgomery,Alabama,36104-4321,United States,+13342770380,,https://www.hirelevel.com,https://americanstaffing.net/members-directory/hirelevel-0015w00002urdfnaad/,"Industrial (60%), Office Clerical (30%)","Direct Hire (10%), Temp Help (30%), Temp-to-Hire (50%), HR Consulting (10%)",,2014-02-10,Staffing Firm,No,,15,Regional,1,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.029572+00:00,20260326_090225,ae0c3d6cf21c71e7a1ef877967bd1de0,2026-03-26 10:39:49,2026-03-26 10:39:49,1
17,Express Employment Professionals,2108 Rocky Ridge Road,Hoover,Alabama,35216,United States,+12056108260,,https://www.expresspros.com,https://americanstaffing.net/members-directory/express-employment-professionals-0015w00002ure3yaat/,"Engineering (5%), Industrial (65%), Office Clerical (25%), Other (5%)","Direct Hire (15%), Temp Help (35%), Temp-to-Hire (35%), Long-Term Contract (10%), HR Consulting (10%)",,1979-08-13,Staffing Firm,No,Offer franchises,34,National,11,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.029572+00:00,20260326_090225,7a5e8ad018c2bd99cb6ebbb0f95c2ae1,2026-03-26 10:39:49,2026-03-26 10:39:49,1
18,ManpowerGroup,1581 Montgomery Hwy Ste 101,Hoover,Alabama,35216-4536,United States,,,https://www.manpowergroup.com,https://americanstaffing.net/members-directory/manpowergroup-0015w00002urf3aaad/,"Engineering (20%), IT (20%), Industrial (20%), Office Clerical (20%)","Direct Hire (10%), Temp Help (10%), Temp-to-Hire (15%), Long-Term Contract (10%), HR Consulting (10%), Payrolling (10%), Managed Services (10%), Outplacement (10%)",,1975-01-20,Staffing Firm,No,Offer franchises,3,National,9,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.029572+00:00,20260326_090225,c89045921ca40304e6d836bd6aef6caa,2026-03-26 10:39:49,2026-03-26 10:39:49,1
19,Randstad Holding NV,240 Olde Towne Rd,Vestavia,Alabama,35216-3757,United States,+12058220084,,https://www.randstadusa.com,https://americanstaffing.net/members-directory/randstad-holding-nv-0015w00002urguoaa1/,"Engineering (5%), Industrial (40%), Office Clerical (50%)","Direct Hire (5%), Temp Help (60%), Temp-to-Hire (5%), Long-Term Contract (15%), HR Consulting (15%), Payrolling (5%)",,1981-02-12,Staffing Firm,No,,12,National,4,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.029572+00:00,20260326_090225,1dd249ba299ae994447192ee60d614cd,2026-03-26 10:39:49,2026-03-26 10:39:49,1
20,Allegis Group Inc.,1200 Corporate Dr Ste G-05,Birmingham,Alabama,35242-2902,United States,+12059955450,,https://www.allegisgroup.com,https://americanstaffing.net/members-directory/allegis-group-inc-0015w00002urgxtaat/,"Engineering (35%), Health Care (5%), IT (5%), Industrial (25%), Office Clerical (20%)","Direct Hire (10%), Temp Help (45%), Temp-to-Hire (35%), Long-Term Contract (10%), Managed Services (5%)",,2004-01-01,Staffing Firm,No,,17,National,3,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.029572+00:00,20260326_090225,964b18421fb5b13e0a3310d7a92aa1ad,2026-03-26 10:39:49,2026-03-26 10:39:49,1
21,Aerotek,2876 Zelda Rd,Montgomery,Alabama,36106-3702,United States,+13344092700,,https://www.allegisgroup.com,https://americanstaffing.net/members-directory/aerotek-0015w00002urfcraat/,"Engineering (35%), Health Care (5%), IT (5%), Industrial (25%), Office Clerical (20%)","Direct Hire (10%), Temp Help (45%), Temp-to-Hire (35%), Long-Term Contract (10%), Managed Services (5%)",,2004-01-01,Staffing Firm,No,,17,National,4,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.029572+00:00,20260326_090225,34b13f200352e2abb382770f7ceff84b,2026-03-26 10:39:49,2026-03-26 10:39:49,1
22,Randstad Holding NV,5287 US 280 Unit 92,Birmingham,Alabama,35242,United States,+12059094414,,https://www.randstadusa.com,https://americanstaffing.net/members-directory/randstad-holding-nv-0015w00002urdv8aad/,"Engineering (5%), Industrial (40%), Office Clerical (50%)","Direct Hire (5%), Temp Help (60%), Temp-to-Hire (5%), Long-Term Contract (15%), HR Consulting (15%), Payrolling (5%)",,1981-02-12,Staffing Firm,No,,12,National,4,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.029572+00:00,20260326_090225,b439de7962b7033bfdd61f364bf9fe6a,2026-03-26 10:39:49,2026-03-26 10:39:49,1
23,ATC Healthcare Services Inc.,200 Riverhill Business Park ste 235,Birmingham,Alabama,35242,United States,+12058707423,,https://www.atchealthcare.com,https://americanstaffing.net/members-directory/atc-healthcare-services-inc-0015w00002urgoxaat/,"Health Care (95%), Office Clerical (5%)","Direct Hire (5%), Temp Help (95%)",,2000-07-17,Staffing Firm,No,Offer franchises,1,National,4,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.029572+00:00,20260326_090225,feea980f4d048b6cfcb45e629fdd68e6,2026-03-26 10:39:49,2026-03-26 10:39:49,1
24,Diversified Sourcing Solutions,300 Cahaba Park Cir Ste 117,Birmingham,Alabama,35242-8100,United States,+12059413380,,https://www.diversifiedsourcingsolutions.com,https://americanstaffing.net/members-directory/diversified-sourcing-solutions-0015w00002urelqaad/,"Industrial (30%), Office Clerical (10%), Other (60%)","Temp Help (80%), Long-Term Contract (10%), HR Consulting (10%)",,2012-01-01,Staffing Firm,No,,1,Regional,1,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.029572+00:00,20260326_090225,2b0cb0aa77c7c43f628f10f6cdda4e29,2026-03-26 10:39:49,2026-03-26 10:39:49,1
25,Express Employment Professionals,200 Cahaba Park Cir Ste 130,Birmingham,Alabama,35242-5002,United States,+12059811141,,https://www.expresspros.com,https://americanstaffing.net/members-directory/express-employment-professionals-0015w00002urfhoaad/,"Engineering (5%), Industrial (65%), Office Clerical (25%), Other (5%)","Direct Hire (15%), Temp Help (35%), Temp-to-Hire (35%), Long-Term Contract (10%), HR Consulting (10%)",,1979-08-13,Staffing Firm,No,Offer franchises,34,National,11,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.029572+00:00,20260326_090225,adfc8a639a598bb558d0d1ad8936aafd,2026-03-26 10:39:49,2026-03-26 10:39:49,1
26,Automation Personnel Services Inc. - Corporate,3500 Colonnade Pkwy Ste 500,Birmingham,Alabama,35243-8304,United States,+12057333700,,https://www.apstemps.com,https://americanstaffing.net/members-directory/automation-personnel-services-inc-corporate-0015w00002urvsoaap/,"Engineering (5%), Industrial (85%), Office Clerical (10%)","Temp Help (90%), Temp-to-Hire (5%)",,1993-08-10,Staffing Firm HQ,Yes,,,Local,1,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.029572+00:00,20260326_090225,d6e26259c2b12957dcdf3edc27f9cf57,2026-03-26 10:39:49,2026-03-26 10:39:49,1
27,Spherion,4001 Carmichael Rd Ste 410,Montgomery,Alabama,36106-3653,United States,+17709377000,,https://www.randstadusa.com,https://americanstaffing.net/members-directory/spherion-0015w00002ure8qaad/,"Engineering (5%), Industrial (40%), Office Clerical (50%)","Direct Hire (5%), Temp Help (60%), Temp-to-Hire (5%), Long-Term Contract (15%), HR Consulting (15%), Payrolling (5%)",,1981-02-12,Staffing Firm,No,,12,National,4,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.029572+00:00,20260326_090225,24927d37eecb3c7202f08437c0e20290,2026-03-26 10:39:49,2026-03-26 10:39:49,1
28,Spherion,"4001 Carmichael Road, Suite 310",Montgomery,Alabama,36106-3653,United States,+13342600788,,https://www.randstadusa.com,https://americanstaffing.net/members-directory/spherion-0015w00002urhwaaat/,"Engineering (5%), Industrial (40%), Office Clerical (50%)","Direct Hire (5%), Temp Help (60%), Temp-to-Hire (5%), Long-Term Contract (15%), HR Consulting (15%), Payrolling (5%)",,1981-02-12,Staffing Firm,No,,12,National,4,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.029572+00:00,20260326_090225,7c3ce0b6a3e9a4dd3d860d7b84d88b0a,2026-03-26 10:39:49,2026-03-26 10:39:49,1
29,Elwood Staffing Services,1058 Montgomery Hwy,Birmingham,Alabama,35216-2806,United States,+12059434820,,https://www.elwoodstaffing.com,https://americanstaffing.net/members-directory/elwood-staffing-services-0015w00002urf8kaad/,"Engineering (5%), Industrial (80%), Office Clerical (10%)","Direct Hire (5%), Temp Help (5%), Temp-to-Hire (75%), Long-Term Contract (5%), HR Consulting (5%), Payrolling (5%)",,1996-07-15,Staffing Firm,No,,146,National,20,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.029572+00:00,20260326_090225,4b098468af67f638237355620c2feac5,2026-03-26 10:39:49,2026-03-26 10:39:49,1
30,Elwood Staffing Services,1058 Montgomery Hwy,Vestavia Hills,Alabama,35216-2806,United States,+12058228234,,https://www.elwoodstaffing.com,https://americanstaffing.net/members-directory/elwood-staffing-services-0015w00002urgswaat/,"Engineering (5%), Industrial (80%), Office Clerical (10%)","Direct Hire (5%), Temp Help (5%), Temp-to-Hire (75%), Long-Term Contract (5%), HR Consulting (5%), Payrolling (5%)",,1996-07-15,Staffing Firm,No,,146,National,20,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.029572+00:00,20260326_090225,cb6890c3dcf640d1bc327b13f000b894,2026-03-26 10:39:49,2026-03-26 10:39:49,1
31,Nursefinders,1025 Montgomery Hwy Ste 213,Birmingham,Alabama,35216-2830,United States,+12059791500,,https://www.amnhealthcare.com,https://americanstaffing.net/members-directory/nursefinders-0015w00002urfrtaad/,Health Care (100%),"Direct Hire (5%), Temp Help (95%)",,2010-10-10,Staffing Firm,No,,1,National,1,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.029572+00:00,20260326_090225,440e33b8ce2228275882394ef50a1c9e,2026-03-26 10:39:49,2026-03-26 10:39:49,1
32,ITAC Solutions,700 Montgomery Hwy Ste 148,Vestavia,Alabama,35216-1868,United States,+12053260004,,https://www.itacsolutions.com,https://americanstaffing.net/members-directory/itac-solutions-0015w00002uryjzaa5/,"Engineering (13%), Finance (25%), IT (42%), Management (3%), Office Clerical (15%), Sales/Marketing (2%)","Direct Hire (35%), Temp Help (30%), Temp-to-Hire (15%), Long-Term Contract (15%), HR Consulting (5%), Payrolling (5%), Govt Contracting (10%)",,2011-09-20,Staffing Firm HQ,Yes,,1,Regional,3,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.029572+00:00,20260326_090225,b291e16dc33547ff1cf65d6f897e1df1,2026-03-26 10:39:49,2026-03-26 10:39:49,1
