id,company_name,address,city,state,zip_code,country,phone,email,website,trade_specialty,services_offered,commercial_residential,emergency_service,phcc_chapter,service_area,membership_type,license_state,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
1,"Cole Plumbing, Inc.",,,AL,,US,(334)279-8919,,http://www.coleplumbing.com,Plumbing,Plumbing,Commercial & Residential,Unknown,AL,Alabama,PHCC Member,Alabama,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.036410+00:00,20260326_103213,98e63f352dc5a2fd6413845b52a9f60b,2026-03-26 10:34:42,2026-03-26 10:34:42,1
2,"Scanlon Plumbing Service, Inc.",,,AL,,US,(334)279-8989,,http://www.scanlonplumbing.com,Plumbing,Plumbing,Commercial & Residential,Unknown,AL,Alabama,PHCC Member,Alabama,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.036410+00:00,20260326_103213,74f978d345bb72121b3740eaf161af2e,2026-03-26 10:34:42,2026-03-26 10:34:42,1
3,"Dr. Comfort, LLC",,,AL,,US,(205)207-1200,,,Plumbing/HVAC,"Plumbing, HVAC",Commercial & Residential,Unknown,AL,Alabama,PHCC Member,Alabama,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.036410+00:00,20260326_103213,b629aca6de8aee805c36f2b4c66c4a5c,2026-03-26 10:34:42,2026-03-26 10:34:42,1
4,"Rick Thomason Plbg., Htg., & Cooling",,,AL,,US,(205)822-0597,,,Cooling & Air,"Heating, Cooling",Commercial & Residential,Unknown,AL,Alabama,PHCC Member,Alabama,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.036410+00:00,20260326_103213,a0ec32d608ba469cddfe70bcad40f855,2026-03-26 10:34:42,2026-03-26 10:34:42,1
5,Sentry Heating-Air-Plumbing and Electrical,,,AL,,US,(205)979-9864,,http://www.sentryheating.com,Plumbing,"Plumbing, Heating",Commercial & Residential,Unknown,AL,Alabama,PHCC Member,Alabama,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.036410+00:00,20260326_103213,dc223e660db4ddc5a33a65275c4bb06a,2026-03-26 10:34:42,2026-03-26 10:34:42,1
6,Turner Plumbing Inc.,,,AL,,US,(205)345-4825,,https://www.turnerplumbinginc.com/,Plumbing,Plumbing,Commercial & Residential,Unknown,AL,Alabama,PHCC Member,Alabama,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.036410+00:00,20260326_103213,e28d5b277033d57bc759d715db1a3f26,2026-03-26 10:34:42,2026-03-26 10:34:42,1
7,Encore Plumbing,,,AL,,US,(256)452-5915,,https://encore-plumbing.com/,Plumbing,Plumbing,Commercial & Residential,Unknown,AL,Alabama,PHCC Member,Alabama,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.036410+00:00,20260326_103213,414410014920b1a46c9ba89819a66bff,2026-03-26 10:34:42,2026-03-26 10:34:42,1
8,"Early Services, Inc.",,,AL,,US,(256)350-7701,,,Plumbing/HVAC,"Plumbing, HVAC",Commercial & Residential,Unknown,AL,Alabama,PHCC Member,Alabama,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.036410+00:00,20260326_103213,d826afe28d2a006899e451093d427036,2026-03-26 10:34:42,2026-03-26 10:34:42,1
9,"Brickley Plumbing & Electric, Inc.",,,AL,,US,(256)259-1911,,,Plumbing,"Plumbing, Electrical",Commercial & Residential,Unknown,AL,Alabama,PHCC Member,Alabama,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.036410+00:00,20260326_103213,71adddc349e800e30ebfff558c9800e5,2026-03-26 10:34:42,2026-03-26 10:34:42,1
10,B&C Plumbing Inc,,,AL,,US,(256)382-0825,,https://bcplumbinghsv.com/,Plumbing,Plumbing,Commercial & Residential,Unknown,AL,Alabama,PHCC Member,Alabama,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.036410+00:00,20260326_103213,18a482138b7e99ec989d44530fcaeea2,2026-03-26 10:34:42,2026-03-26 10:34:42,1
11,H.C. Blake Co. Inc.,,,AL,,US,(256)836-0337,,https://hcblakeinc.com/,Plumbing/HVAC,"Plumbing, HVAC",Commercial & Residential,Unknown,AL,Alabama,PHCC Member,Alabama,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.036410+00:00,20260326_103213,7efc1d36739779e332028501f377647a,2026-03-26 10:34:42,2026-03-26 10:34:42,1
12,Blake Brothers Service Corp.,,,AL,,US,(256)692-9516,,https://blakebrothers.com/,Plumbing/HVAC,"Plumbing, HVAC",Commercial & Residential,Unknown,AL,Alabama,PHCC Member,Alabama,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.036410+00:00,20260326_103213,7bb7c7947c654f51bb8ff8d9b940eba4,2026-03-26 10:34:42,2026-03-26 10:34:42,1
13,"Bowers Plumbing Company, Inc.",,,AL,,US,(256)859-4600,,,Plumbing,Plumbing,Commercial & Residential,Unknown,AL,Alabama,PHCC Member,Alabama,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.036410+00:00,20260326_103213,c1b4c40aefb4dcf7e46b3cc520347860,2026-03-26 10:34:42,2026-03-26 10:34:42,1
14,"Parkes Mech. & Metals, Inc.",,,AL,,US,(256)386-0308,,,Plumbing/HVAC,"Plumbing, HVAC",Commercial & Residential,Unknown,AL,Alabama,PHCC Member,Alabama,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.036410+00:00,20260326_103213,bfea235e6672bc243666fc3751e23c17,2026-03-26 10:34:42,2026-03-26 10:34:42,1
15,KLEBS Mechanical,,,AK,,US,(907)365-2500,,https://www.klebsheating.com/,Mechanical Contractor,Mechanical,Commercial & Residential,Unknown,AK,Alaska,PHCC Member,Alaska,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.036410+00:00,20260326_103213,78030faf6ce6afdfca384e09457c8612,2026-03-26 10:34:42,2026-03-26 10:34:42,1
16,AireTech Corporation,,,AR,,US,(501)280-0404,,https://airetechcorp.com/,Cooling & Air,"Plumbing, HVAC",Commercial & Residential,Unknown,AR,Arkansas,PHCC Member,Arkansas,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.036410+00:00,20260326_103213,2a97d68b2e03be2e3834ebbe5f85d55c,2026-03-26 10:34:42,2026-03-26 10:34:42,1
17,Rex White Plumbing,,,AR,,US,(501)777-2505,,,Plumbing,Plumbing,Commercial & Residential,Unknown,AR,Arkansas,PHCC Member,Arkansas,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.036410+00:00,20260326_103213,c177f0b0ca98dfd0410287f13c046d77,2026-03-26 10:34:42,2026-03-26 10:34:42,1
18,BR McGinity,,,AR,,US,(870)329-7059,,https://www.brmcginty.com/,Plumbing/HVAC,"Plumbing, HVAC",Commercial & Residential,Unknown,AR,Arkansas,PHCC Member,Arkansas,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.036410+00:00,20260326_103213,9c101b7673cd755e471dfb1c2e386b45,2026-03-26 10:34:42,2026-03-26 10:34:42,1
19,Norris Mechanical Shop Inc.,,,AR,,US,(870)863-4200,,,Mechanical Contractor,Mechanical,Commercial & Residential,Unknown,AR,Arkansas,PHCC Member,Arkansas,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.036410+00:00,20260326_103213,1d1d76e0a4a2ff42d811a6868c3bf772,2026-03-26 10:34:42,2026-03-26 10:34:42,1
20,Glenn Mechanical Co,,,AR,,US,(870)862-5901,,https://glennmechanical.com/,Mechanical Contractor,Mechanical,Commercial & Residential,Unknown,AR,Arkansas,PHCC Member,Arkansas,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.036410+00:00,20260326_103213,6a632e9e1215192d4fd8f4c4bf6eed69,2026-03-26 10:34:42,2026-03-26 10:34:42,1
21,Chris West Plumbing Inc,,,AR,,US,(870)931-9634,,http://www.chriswestplumbing.com/,Plumbing,Plumbing,Commercial & Residential,Unknown,AR,Arkansas,PHCC Member,Arkansas,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.037409+00:00,20260326_103213,fd8c3b4f52e9d62f39dbd2fd86f86920,2026-03-26 10:34:42,2026-03-26 10:34:42,1
22,Smith Plumbing,,,AR,,US,(870)613-0075,,,Plumbing,Plumbing,Commercial & Residential,Unknown,AR,Arkansas,PHCC Member,Arkansas,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.037409+00:00,20260326_103213,18f321209c5d22cec1253de5d9203b03,2026-03-26 10:34:42,2026-03-26 10:34:42,1
23,"RGB Mechanical Contractors, Inc.",,,AR,,US,(870)972-8360,,https://www.rgbmechanical.com/,Mechanical Contractor,Mechanical,Commercial & Residential,Unknown,AR,Arkansas,PHCC Member,Arkansas,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.037409+00:00,20260326_103213,7b9b7d6bd49a58cbcb2877965bbca0fb,2026-03-26 10:34:42,2026-03-26 10:34:42,1
24,"Voegele Mechanical Contractors, Inc.",,,AR,,US,(501)945-6951,,,Mechanical Contractor,Mechanical,Commercial & Residential,Unknown,AR,Arkansas,PHCC Member,Arkansas,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.037409+00:00,20260326_103213,74a3d27b25332bfd9dee8d455cfbf888,2026-03-26 10:34:42,2026-03-26 10:34:42,1
25,"Adams & Cooper Plumbing Co., Inc.",,,AR,,US,(870)935-5666,,http://www.adamscooper.com,Plumbing,Plumbing,Commercial & Residential,Unknown,AR,Arkansas,PHCC Member,Arkansas,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.037409+00:00,20260326_103213,02f10c7125482236a36346a9d98642d7,2026-03-26 10:34:42,2026-03-26 10:34:42,1
26,J.F. Sobieski Mechanical Contractors Inc,,,DE,,US,(302)993-0600,,http://www.sobieskiinc.com,Mechanical Contractor,Mechanical,Commercial & Residential,Unknown,DE,Delaware,PHCC Member,Delaware,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.037409+00:00,20260326_103213,bac2348b3ea54d68c56263f22f35492f,2026-03-26 10:34:42,2026-03-26 10:34:42,1
27,"Magnolia Plumbing, Inc.",,,DC,,US,(202)829-8510,,http://www.magnoliaplumbing.com/,Plumbing,Plumbing,Commercial & Residential,Unknown,DC,District of Columbia,PHCC Member,District of Columbia,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.037409+00:00,20260326_103213,9687884082e499a3dd55bc21601102fe,2026-03-26 10:34:42,2026-03-26 10:34:42,1
28,"T/A Seidel Plumbing & Heating, Inc.",,,DC,,US,(202)397-7000,,,Plumbing,"Plumbing, Heating",Commercial & Residential,Unknown,DC,District of Columbia,PHCC Member,District of Columbia,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.037409+00:00,20260326_103213,c4f29e188bc60eee9ff89ccf1cef22cd,2026-03-26 10:34:42,2026-03-26 10:34:42,1
29,Miller's Plumbing & Mechanical Inc,,,FL,,US,(850)386-4622,,https://millersplumbing.com/,Plumbing,"Plumbing, Mechanical",Commercial & Residential,Unknown,FL,Florida,PHCC Member,Florida,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.037409+00:00,20260326_103213,e2248e352bf7ee009b44cf96bda609aa,2026-03-26 10:34:42,2026-03-26 10:34:42,1
30,"McDonald Construction Services, Inc.",,,FL,,US,(850)862-2151,,,Plumbing/HVAC,"Plumbing, HVAC",Commercial & Residential,Unknown,FL,Florida,PHCC Member,Florida,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.037409+00:00,20260326_103213,d8cd6d42bd8cad781946fd433b841734,2026-03-26 10:34:42,2026-03-26 10:34:42,1
31,"Campbell Plumbing & Mechanical Contractors Southeast, Inc.",,,FL,,US,(904)387-9996,,http://campbellplbg.com,Plumbing,"Plumbing, Mechanical",Commercial & Residential,Unknown,FL,Florida,PHCC Member,Florida,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.037409+00:00,20260326_103213,f53139a142f2f955411c27b3125971f7,2026-03-26 10:34:42,2026-03-26 10:34:42,1
32,Karl Bykowski,,,FL,,US,(352)693-4826,,,Plumbing/HVAC,"Plumbing, HVAC",Commercial & Residential,Unknown,FL,Florida,PHCC Member,Florida,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.037409+00:00,20260326_103213,fdc1ae6cfa19f11340afe0c2d15b52b1,2026-03-26 10:34:42,2026-03-26 10:34:42,1
33,Douglas Santoro,,,FL,,US,(561)585-2591,,,Plumbing/HVAC,"Plumbing, HVAC",Commercial & Residential,Unknown,FL,Florida,PHCC Member,Florida,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.037409+00:00,20260326_103213,44d0dfe30d62abe6c897fa08622c9bf3,2026-03-26 10:34:42,2026-03-26 10:34:42,1
34,"Continental Plumbing Services, LLC",,,FL,,US,(727)843-0306,,https://www.continentalplumbing.net/,Plumbing,Plumbing,Commercial & Residential,Unknown,FL,Florida,PHCC Member,Florida,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.037409+00:00,20260326_103213,2d4f993586bae0a9acd6aae93e92bd88,2026-03-26 10:34:42,2026-03-26 10:34:42,1
35,"Nelson Plumbing Contractors, Inc",,,FL,,US,(850)476-9164,,http://nelsonplumbing.us,Plumbing,Plumbing,Commercial & Residential,Unknown,FL,Florida,PHCC Member,Florida,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.037409+00:00,20260326_103213,ad084001eeb3ef837da91dfc7ef1cc3c,2026-03-26 10:34:42,2026-03-26 10:34:42,1
36,"R. Carr, Inc.",,,FL,,US,(727)725-1687,,,Plumbing/HVAC,"Plumbing, HVAC",Commercial & Residential,Unknown,FL,Florida,PHCC Member,Florida,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.037409+00:00,20260326_103213,8bf81af7e15d7cd782ad1586232a28be,2026-03-26 10:34:42,2026-03-26 10:34:42,1
37,Clearwater Plumbing Inc.,,,FL,,US,(727)446-8355,,http://www.clearwaterplumbing.com,Plumbing,Plumbing,Commercial & Residential,Unknown,FL,Florida,PHCC Member,Florida,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.037409+00:00,20260326_103213,499ece237c9f0a282b3006d03c26f866,2026-03-26 10:34:42,2026-03-26 10:34:42,1
38,Feddon Mechanical LLC,,,FL,,US,(727)821-0537,,http://www.feddon-mechanical.com,Mechanical Contractor,Mechanical,Commercial & Residential,Unknown,FL,Florida,PHCC Member,Florida,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.037409+00:00,20260326_103213,04af36788cc17f6249545222e26923c5,2026-03-26 10:34:42,2026-03-26 10:34:42,1
39,"Oran B. Ellis, Jr.",,,FL,,US,(813)988-5902,,,Plumbing/HVAC,"Plumbing, HVAC",Commercial & Residential,Unknown,FL,Florida,PHCC Member,Florida,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.037409+00:00,20260326_103213,146ce354ed6c0b71aa7410097380f246,2026-03-26 10:34:42,2026-03-26 10:34:42,1
40,Kuma Plumbing & Drain,,,FL,,US,(813)438-3375,,,Sewer & Drain,"Plumbing, Drains",Commercial & Residential,Unknown,FL,Florida,PHCC Member,Florida,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.037409+00:00,20260326_103213,368a45fe013bad0df6fbe22a8cc120ed,2026-03-26 10:34:42,2026-03-26 10:34:42,1
41,"Modern Plumbing Industries, Inc.",,,FL,,US,(321)926-4489,,http://www.modernpi.com,Plumbing,Plumbing,Commercial & Residential,Unknown,FL,Florida,PHCC Member,Florida,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.037409+00:00,20260326_103213,e1fb4208712186a1146cdb244013f3ce,2026-03-26 10:34:42,2026-03-26 10:34:42,1
42,"Samco Plumbing, Inc.",,,FL,,US,(863)709-9292,,http://www.samcoplumbing.com,Plumbing,Plumbing,Commercial & Residential,Unknown,FL,Florida,PHCC Member,Florida,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.037409+00:00,20260326_103213,c39a1cb8e0abebb9463593622181098b,2026-03-26 10:34:42,2026-03-26 10:34:42,1
43,Ferran Services & Contracting Inc,,,FL,,US,(407)422-3551,,http://www.ferran-services.com,Plumbing/HVAC,"Plumbing, HVAC",Commercial & Residential,Unknown,FL,Florida,PHCC Member,Florida,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.037409+00:00,20260326_103213,33a3c6e7664b3bb1979e0744df62930e,2026-03-26 10:34:42,2026-03-26 10:34:42,1
44,"Westbrook Service Company, LLC.",,,FL,,US,(407)335-0488,,https://www.westbrookfl.com/,Plumbing/HVAC,"Plumbing, HVAC",Commercial & Residential,Unknown,FL,Florida,PHCC Member,Florida,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.037409+00:00,20260326_103213,d641ebd229aece656356aba1c4aa55fc,2026-03-26 10:34:42,2026-03-26 10:34:42,1
45,Gillum-Waddell Plumbing Co.,,,FL,,US,(863)665-6222,,http://www.gwplb.com,Plumbing,Plumbing,Commercial & Residential,Unknown,FL,Florida,PHCC Member,Florida,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.037409+00:00,20260326_103213,3fadae4b281783e900c86ac8af5a2a82,2026-03-26 10:34:42,2026-03-26 10:34:42,1
46,Curry & Company Plumbing Inc,,,FL,,US,(863)644-0061,,http://curryplumbing.com/,Plumbing,Plumbing,Commercial & Residential,Unknown,FL,Florida,PHCC Member,Florida,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.037409+00:00,20260326_103213,c30d7d03f8e71a391a31e56faf4900a0,2026-03-26 10:34:42,2026-03-26 10:34:42,1
47,Stuart's Plumbing LLC,,,FL,,US,(863)680-2706,,https://www.stuartsplumbing.com/,Plumbing,Plumbing,Commercial & Residential,Unknown,FL,Florida,PHCC Member,Florida,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.037409+00:00,20260326_103213,ded8a9adbea6d3daa3b2e63ae9d00417,2026-03-26 10:34:42,2026-03-26 10:34:42,1
48,Mechanical Services of Central Florida,,,FL,,US,(407)857-3510,,https://www.msifla.com,Mechanical Contractor,Mechanical,Commercial & Residential,Unknown,FL,Florida,PHCC Member,Florida,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.037409+00:00,20260326_103213,a523305eb9fbc34fc90016592650b57e,2026-03-26 10:34:42,2026-03-26 10:34:42,1
49,"LT PLUMBING, LLC",,,FL,,US,,,,Plumbing,Plumbing,Commercial & Residential,Unknown,FL,Florida,PHCC Member,Florida,phcc_plumbing_hvac_contractors,https://www.phccweb.org/tools-resources/find-a-contractor/,2026-03-26T10:34:42.037409+00:00,20260326_103213,2117bea09bacb3b4da608375b2a9e0dd,2026-03-26 10:34:42,2026-03-26 10:34:42,1
